ngram,doc_freq,doc_freq_ratio
"('NOUN', 'DET')",19020,0.951
"('ADP', 'NOUN')",18329,0.91645
"('VERB', 'PUNCT')",18155,0.90775
"('VERB', 'NOUN')",17833,0.89165
"('VERB', 'ADP')",17426,0.8713
"('NOUN', 'ADJ')",15895,0.79475
"('ADP', 'NOUN', 'DET')",15557,0.77785
"('VERB', 'ADP', 'NOUN')",15350,0.7675
"('VERB', 'VERB')",14589,0.72945
"('VERB', 'NOUN', 'DET')",14478,0.7239
"('NOUN', 'ADP')",14310,0.7155
"('VERB', 'PRON')",14019,0.70095
"('VERB', 'AUX')",13627,0.68135
"('NOUN', 'ADP', 'NOUN')",12387,0.61935
"('VERB', 'ADP', 'NOUN', 'DET')",12017,0.60085
"('NOUN', 'NOUN')",11972,0.5986
"('VERB', 'ADV')",11157,0.55785
"('NOUN', 'VERB')",10565,0.52825
"('ADP', 'NOUN', 'ADJ')",10406,0.5203
"('VERB', 'VERB', 'NOUN')",10273,0.51365
"('VERB', 'CCONJ')",9900,0.495
"('VERB', 'VERB', 'ADP')",9842,0.4921
"('NOUN', 'PRON')",9611,0.48055
"('NOUN', 'PUNCT')",9571,0.47855
"('VERB', 'NOUN', 'ADJ')",9401,0.47005
"('VERB', 'NOUN', 'ADP')",8352,0.4176
"('VERB', 'PART')",8245,0.41225
"('VERB', 'VERB', 'PRON')",8234,0.4117
"('ADP', 'NOUN', 'ADP')",8058,0.4029
"('VERB', 'SCONJ')",8025,0.40125
"('NOUN', 'ADP', 'NOUN', 'DET')",7846,0.3923
"('AUX', 'PUNCT')",7621,0.38105
"('VERB', 'VERB', 'ADP', 'NOUN')",7603,0.38015
"('VERB', 'PROPN')",7577,0.37885
"('ADP', 'NOUN', 'NOUN')",7438,0.3719
"('VERB', 'VERB', 'PUNCT')",7174,0.3587
"('VERB', 'VERB', 'NOUN', 'DET')",7045,0.35225
"('VERB', 'NOUN', 'ADP', 'NOUN')",6910,0.3455
"('VERB', 'VERB', 'AUX')",6800,0.34
"('AUX', 'NOUN')",6798,0.3399
"('VERB', 'ADP', 'NOUN', 'ADJ')",6719,0.33595
"('ADP', 'NOUN', 'ADP', 'NOUN')",6665,0.33325
"('NOUN', 'CCONJ')",6572,0.3286
"('AUX', 'PRON')",6451,0.32255
"('VERB', 'VERB', 'VERB')",6301,0.31505
"('VERB', 'NOUN', 'NOUN')",6154,0.3077
"('ADP', 'PRON')",5867,0.29335
"('VERB', 'ADP', 'NOUN', 'ADP')",5856,0.2928
"('VERB', 'VERB', 'SCONJ')",5766,0.2883
"('VERB', 'VERB', 'PART')",5736,0.2868
"('PROPN', 'PROPN')",5632,0.2816
"('ADP', 'NOUN', 'PRON')",5521,0.27605
"('ADP', 'NOUN', 'VERB')",5277,0.26385
"('AUX', 'ADJ')",5271,0.26355
"('VERB', 'VERB', 'ADV')",5266,0.2633
"('VERB', 'NOUN', 'PRON')",5213,0.26065
"('NOUN', 'VERB', 'ADP')",5140,0.257
"('AUX', 'NOUN', 'DET')",5123,0.25615
"('ADP', 'PROPN')",5091,0.25455
"('NOUN', 'ADP', 'NOUN', 'ADJ')",4980,0.249
"('VERB', 'NOUN', 'VERB')",4658,0.2329
"('AUX', 'VERB')",4273,0.21365
"('NOUN', 'PROPN')",4178,0.2089
"('NOUN', 'VERB', 'PRON')",4177,0.20885
"('NOUN', 'NUM')",4122,0.2061
"('VERB', 'ADJ')",4109,0.20545
"('VERB', 'ADP', 'NOUN', 'NOUN')",4070,0.2035
"('ADJ', 'ADV')",3931,0.19655
"('NOUN', 'VERB', 'NOUN')",3894,0.1947
"('VERB', 'NOUN', 'PUNCT')",3880,0.194
"('NOUN', 'VERB', 'ADP', 'NOUN')",3803,0.19015
"('VERB', 'VERB', 'NOUN', 'ADJ')",3767,0.18835
"('VERB', 'ADP', 'PRON')",3696,0.1848
"('NOUN', 'ADP', 'NOUN', 'NOUN')",3657,0.18285
"('NOUN', 'NOUN', 'DET')",3616,0.1808
"('NOUN', 'NOUN', 'ADJ')",3524,0.1762
"('PROPN', 'PUNCT')",3523,0.17615
"('VERB', 'VERB', 'VERB', 'NOUN')",3417,0.17085
"('AUX', 'ADP')",3383,0.16915
"('VERB', 'ADP', 'NOUN', 'PRON')",3364,0.1682
"('VERB', 'VERB', 'VERB', 'ADP')",3285,0.16425
"('ADP', 'NOUN', 'PUNCT')",3260,0.163
"('PROPN', 'DET')",3249,0.16245
"('ADJ', 'ADP')",3241,0.16205
"('ADP', 'NOUN', 'CCONJ')",3229,0.16145
"('VERB', 'AUX', 'PRON')",3133,0.15665
"('VERB', 'VERB', 'CCONJ')",3077,0.15385
"('VERB', 'VERB', 'VERB', 'PRON')",2987,0.14935
"('VERB', 'VERB', 'NOUN', 'ADP')",2975,0.14875
"('VERB', 'ADP', 'NOUN', 'VERB')",2950,0.1475
"('VERB', 'PROPN', 'PROPN')",2825,0.14125
"('VERB', 'AUX', 'NOUN')",2810,0.1405
"('VERB', 'NOUN', 'CCONJ')",2649,0.13245
"('NOUN', 'NOUN', 'NOUN')",2629,0.13145
"('VERB', 'VERB', 'NOUN', 'PRON')",2625,0.13125
"('AUX', 'ADV')",2624,0.1312
"('ADP', 'VERB')",2600,0.13
"('AUX', 'NOUN', 'ADJ')",2598,0.1299
"('PUNCT', 'SPACE')",2596,0.1298
"('AUX', 'CCONJ')",2577,0.12885
"('AUX', 'ADP', 'NOUN')",2555,0.12775
"('ADJ', 'ADJ')",2551,0.12755
"('NOUN', 'ADP', 'PROPN')",2548,0.1274
"('VERB', 'ADP', 'PROPN')",2523,0.12615
"('VERB', 'VERB', 'PROPN')",2508,0.1254
"('ADV', 'ADV')",2445,0.12225
"('VERB', 'VERB', 'VERB', 'PART')",2415,0.12075
"('AUX', 'SCONJ')",2412,0.1206
"('ADJ', 'CCONJ')",2289,0.11445
"('NOUN', 'VERB', 'AUX')",2241,0.11205
"('ADP', 'NOUN', 'VERB', 'ADP')",2207,0.11035
"('ADP', 'PROPN', 'PROPN')",2195,0.10975
"('VERB', 'AUX', 'ADJ')",2186,0.1093
"('NOUN', 'ADP', 'NOUN', 'ADP')",2155,0.10775
"('ADJ', 'ADP', 'NOUN')",2134,0.1067
"('VERB', 'VERB', 'VERB', 'SCONJ')",2128,0.1064
"('AUX', 'VERB', 'PRON')",2123,0.10615
"('AUX', 'AUX')",2112,0.1056
"('NOUN', 'ADP', 'NOUN', 'VERB')",2110,0.1055
"('AUX', 'NOUN', 'ADP')",2095,0.10475
"('VERB', 'VERB', 'NOUN', 'NOUN')",2076,0.1038
"('NOUN', 'VERB', 'NOUN', 'DET')",2075,0.10375
"('VERB', 'NOUN', 'NUM')",2070,0.1035
"('AUX', 'VERB', 'NOUN')",2044,0.1022
"('VERB', 'VERB', 'VERB', 'AUX')",2005,0.10025
"('VERB', 'PUNCT', 'SPACE')",1992,0.0996
"('VERB', 'AUX', 'PUNCT')",1963,0.09815
"('ADP', 'NOUN', 'VERB', 'PRON')",1948,0.0974
"('NOUN', 'NOUN', 'PUNCT')",1941,0.09705
"('VERB', 'AUX', 'NOUN', 'DET')",1936,0.0968
"('AUX', 'PART')",1935,0.09675
"('NOUN', 'ADP', 'NOUN', 'PRON')",1921,0.09605
"('NOUN', 'VERB', 'ADV')",1878,0.0939
"('PROPN', 'PART')",1813,0.09065
"('VERB', 'NOUN', 'VERB', 'ADP')",1809,0.09045
"('AUX', 'VERB', 'ADP')",1793,0.08965
"('VERB', 'VERB', 'VERB', 'VERB')",1787,0.08935
"('ADJ', 'PUNCT')",1786,0.0893
"('ADP', 'NOUN', 'PROPN')",1772,0.0886
"('VERB', 'NOUN', 'PROPN')",1764,0.0882
"('VERB', 'ADP', 'NOUN', 'PUNCT')",1757,0.08785
"('VERB', 'ADV', 'ADV')",1750,0.0875
"('NOUN', 'ADV')",1739,0.08695
"('AUX', 'VERB', 'PUNCT')",1739,0.08695
"('ADP', 'ADV')",1713,0.08565
"('VERB', 'AUX', 'SCONJ')",1703,0.08515
"('NOUN', 'VERB', 'VERB')",1665,0.08325
"('PROPN', 'NOUN')",1663,0.08315
"('ADP', 'NOUN', 'VERB', 'NOUN')",1657,0.08285
"('ADJ', 'VERB')",1638,0.0819
"('VERB', 'NOUN', 'NOUN', 'DET')",1624,0.0812
"('AUX', 'ADJ', 'ADV')",1622,0.0811
"('ADP', 'PROPN', 'DET')",1622,0.0811
"('VERB', 'VERB', 'ADP', 'PRON')",1621,0.08105
"('VERB', 'VERB', 'ADJ')",1612,0.0806
"('ADJ', 'DET')",1611,0.08055
"('AUX', 'NOUN', 'ADP', 'NOUN')",1607,0.08035
"('VERB', 'NOUN', 'VERB', 'PRON')",1601,0.08005
"('NOUN', 'VERB', 'PUNCT')",1594,0.0797
"('AUX', 'PROPN')",1591,0.07955
"('VERB', 'VERB', 'VERB', 'ADV')",1588,0.0794
"('NOUN', 'ADJ', 'ADJ')",1579,0.07895
"('AUX', 'ADP', 'NOUN', 'DET')",1575,0.07875
"('NOUN', 'ADP', 'NOUN', 'CCONJ')",1564,0.0782
"('VERB', 'ADP', 'NOUN', 'CCONJ')",1557,0.07785
"('ADP', 'NOUN', 'NOUN', 'ADJ')",1555,0.07775
"('VERB', 'VERB', 'NOUN', 'VERB')",1551,0.07755
"('VERB', 'ADP', 'VERB')",1541,0.07705
"('ADP', 'NOUN', 'NOUN', 'DET')",1515,0.07575
"('VERB', 'NOUN', 'NOUN', 'ADJ')",1512,0.0756
"('VERB', 'NOUN', 'VERB', 'NOUN')",1504,0.0752
"('NOUN', 'ADP', 'PRON')",1494,0.0747
"('NOUN', 'PROPN', 'PART')",1470,0.0735
"('NOUN', 'PART')",1424,0.0712
"('NOUN', 'NOUN', 'ADP')",1419,0.07095
"('AUX', 'ADJ', 'ADP')",1416,0.0708
"('AUX', 'VERB', 'VERB')",1404,0.0702
"('PROPN', 'CCONJ')",1399,0.06995
"('VERB', 'PROPN', 'DET')",1397,0.06985
"('ADP', 'VERB', 'NOUN')",1392,0.0696
"('ADP', 'NOUN', 'NUM')",1384,0.0692
"('ADP', 'ADP')",1375,0.06875
"('NOUN', 'ADJ', 'ADV')",1369,0.06845
"('AUX', 'VERB', 'AUX')",1363,0.06815
"('ADP', 'ADJ')",1360,0.068
"('VERB', 'PROPN', 'PUNCT')",1348,0.0674
"('AUX', 'VERB', 'NOUN', 'DET')",1335,0.06675
"('NOUN', 'NOUN', 'CCONJ')",1329,0.06645
"('NOUN', 'ADP', 'NOUN', 'PUNCT')",1309,0.06545
"('ADV', 'ADP')",1289,0.06445
"('VERB', 'VERB', 'VERB', 'PUNCT')",1279,0.06395
"('AUX', 'NOUN', 'NOUN')",1249,0.06245
"('NOUN', 'ADJ', 'CCONJ')",1242,0.0621
"('VERB', 'AUX', 'ADP')",1238,0.0619
"('AUX', 'VERB', 'ADP', 'NOUN')",1219,0.06095
"('AUX', 'VERB', 'SCONJ')",1207,0.06035
"('NOUN', 'VERB', 'PART')",1201,0.06005
"('VERB', 'AUX', 'PART')",1197,0.05985
"('VERB', 'NOUN', 'NOUN', 'NOUN')",1194,0.0597
"('NOUN', 'NOUN', 'ADP', 'NOUN')",1189,0.05945
"('NOUN', 'PROPN', 'PROPN')",1184,0.0592
"('ADJ', 'ADP', 'NOUN', 'DET')",1179,0.05895
"('ADP', 'NOUN', 'ADP', 'PROPN')",1178,0.0589
"('ADJ', 'NOUN')",1171,0.05855
"('NOUN', 'NOUN', 'PART')",1165,0.05825
"('AUX', 'NOUN', 'VERB')",1165,0.05825
"('NOUN', 'VERB', 'NOUN', 'ADJ')",1162,0.0581
"('VERB', 'VERB', 'NOUN', 'PUNCT')",1150,0.0575
"('ADP', 'NOUN', 'NOUN', 'NOUN')",1134,0.0567
"('AUX', 'NOUN', 'PRON')",1121,0.05605
"('VERB', 'AUX', 'VERB')",1118,0.0559
"('ADP', 'PUNCT')",1116,0.0558
"('NOUN', 'ADP', 'PROPN', 'PROPN')",1116,0.0558
"('PROPN', 'ADJ')",1075,0.05375
"('AUX', 'VERB', 'ADV')",1067,0.05335
"('VERB', 'ADP', 'ADV')",1061,0.05305
"('PROPN', 'ADP')",1059,0.05295
"('NOUN', 'NOUN', 'VERB')",1020,0.051
"('ADP', 'NOUN', 'VERB', 'AUX')",1010,0.0505
"('AUX', 'VERB', 'PART')",1010,0.0505
"('ADP', 'ADP', 'NOUN')",1005,0.05025
"('PROPN', 'VERB')",1002,0.0501
"('ADP', 'VERB', 'ADP')",999,0.04995
"('VERB', 'NOUN', 'ADP', 'PROPN')",991,0.04955
"('VERB', 'ADP', 'ADP')",975,0.04875
"('VERB', 'ADJ', 'ADP')",974,0.0487
"('VERB', 'ADV', 'ADP')",962,0.0481
"('NOUN', 'VERB', 'SCONJ')",962,0.0481
"('VERB', 'VERB', 'ADP', 'PROPN')",947,0.04735
"('VERB', 'AUX', 'NOUN', 'ADJ')",941,0.04705
"('VERB', 'ADP', 'PROPN', 'PROPN')",939,0.04695
"('VERB', 'AUX', 'ADP', 'NOUN')",935,0.04675
"('VERB', 'AUX', 'ADV')",931,0.04655
"('AUX', 'ADJ', 'ADP', 'NOUN')",928,0.0464
"('VERB', 'VERB', 'AUX', 'PRON')",918,0.0459
"('AUX', 'NOUN', 'PUNCT')",913,0.04565
"('VERB', 'ADJ', 'ADV')",908,0.0454
"('VERB', 'INTJ')",896,0.0448
"('AUX', 'ADJ', 'VERB')",876,0.0438
"('NOUN', 'VERB', 'NOUN', 'NOUN')",875,0.04375
"('VERB', 'NOUN', 'NOUN', 'PUNCT')",868,0.0434
"('ADJ', 'VERB', 'PART')",862,0.0431
"('NOUN', 'AUX')",860,0.043
"('ADP', 'PROPN', 'PUNCT')",855,0.04275
"('NUM', 'ADP')",841,0.04205
"('VERB', 'NOUN', 'VERB', 'AUX')",840,0.042
"('PRON', 'ADP')",827,0.04135
"('VERB', 'NUM')",816,0.0408
"('VERB', 'ADP', 'VERB', 'NOUN')",815,0.04075
"('VERB', 'ADP', 'NOUN', 'PROPN')",813,0.04065
"('VERB', 'AUX', 'AUX')",812,0.0406
"('VERB', 'ADP', 'NOUN', 'NUM')",795,0.03975
"('NOUN', 'ADP', 'PROPN', 'DET')",792,0.0396
"('ADV', 'ADP', 'NOUN')",785,0.03925
"('ADP', 'NUM')",770,0.0385
"('PROPN', 'PROPN', 'PROPN')",765,0.03825
"('NOUN', 'ADP', 'NOUN', 'PROPN')",760,0.038
"('ADP', 'NOUN', 'VERB', 'ADV')",758,0.0379
"('VERB', 'VERB', 'PROPN', 'PROPN')",757,0.03785
"('ADP', 'NOUN', 'NOUN', 'PUNCT')",754,0.0377
"('NOUN', 'ADJ', 'PUNCT')",742,0.0371
"('NOUN', 'ADP', 'VERB')",741,0.03705
"('VERB', 'VERB', 'NOUN', 'CCONJ')",737,0.03685
"('NOUN', 'VERB', 'PROPN')",727,0.03635
"('VERB', 'VERB', 'AUX', 'NOUN')",726,0.0363
"('VERB', 'VERB', 'VERB', 'CCONJ')",723,0.03615
"('AUX', 'ADP', 'NOUN', 'ADP')",722,0.0361
"('VERB', 'PROPN', 'NOUN')",717,0.03585
"('VERB', 'AUX', 'NOUN', 'ADP')",710,0.0355
"('ADP', 'NOUN', 'ADJ', 'ADJ')",709,0.03545
"('VERB', 'ADP', 'ADP', 'NOUN')",707,0.03535
"('SCONJ', 'NOUN')",702,0.0351
"('ADP', 'VERB', 'NOUN', 'DET')",700,0.035
"('NOUN', 'VERB', 'CCONJ')",698,0.0349
"('VERB', 'ADP', 'PROPN', 'DET')",696,0.0348
"('VERB', 'VERB', 'ADV', 'ADV')",695,0.03475
"('ADP', 'VERB', 'ADP', 'NOUN')",691,0.03455
"('NOUN', 'VERB', 'VERB', 'NOUN')",691,0.03455
"('NOUN', 'VERB', 'ADP', 'PRON')",687,0.03435
"('VERB', 'NOUN', 'VERB', 'ADV')",674,0.0337
"('NOUN', 'VERB', 'VERB', 'ADP')",674,0.0337
"('VERB', 'ADP', 'ADJ')",673,0.03365
"('VERB', 'VERB', 'VERB', 'PROPN')",673,0.03365
"('VERB', 'NOUN', 'ADP', 'PRON')",671,0.03355
"('NOUN', 'NOUN', 'PRON')",661,0.03305
"('NOUN', 'VERB', 'NOUN', 'ADP')",660,0.033
"('PRON', 'VERB')",649,0.03245
"('AUX', 'ADP', 'NOUN', 'ADJ')",641,0.03205
"('VERB', 'VERB', 'AUX', 'SCONJ')",641,0.03205
"('ADJ', 'PRON')",637,0.03185
"('VERB', 'AUX', 'ADJ', 'ADV')",635,0.03175
"('VERB', 'NOUN', 'ADV')",628,0.0314
"('VERB', 'NOUN', 'PROPN', 'PART')",628,0.0314
"('VERB', 'NOUN', 'NOUN', 'ADP')",626,0.0313
"('AUX', 'VERB', 'VERB', 'NOUN')",623,0.03115
"('ADP', 'NOUN', 'VERB', 'VERB')",617,0.03085
"('ADP', 'NOUN', 'PROPN', 'PART')",616,0.0308
"('AUX', 'VERB', 'NOUN', 'ADJ')",607,0.03035
"('VERB', 'NOUN', 'ADJ', 'ADJ')",605,0.03025
"('ADP', 'NOUN', 'NOUN', 'PART')",605,0.03025
"('AUX', 'VERB', 'VERB', 'PRON')",604,0.0302
"('VERB', 'ADJ', 'ADP', 'NOUN')",600,0.03
"('NOUN', 'ADJ', 'ADP')",593,0.02965
"('ADP', 'NOUN', 'ADJ', 'CCONJ')",592,0.0296
"('ADP', 'NOUN', 'VERB', 'PUNCT')",589,0.02945
"('NOUN', 'NOUN', 'NOUN', 'ADJ')",587,0.02935
"('AUX', 'ADJ', 'VERB', 'PART')",585,0.02925
"('VERB', 'ADP', 'VERB', 'ADP')",584,0.0292
"('PROPN', 'NOUN', 'DET')",581,0.02905
"('AUX', 'VERB', 'VERB', 'ADP')",580,0.029
"('NOUN', 'AUX', 'PRON')",578,0.0289
"('VERB', 'ADV', 'ADP', 'NOUN')",575,0.02875
"('ADJ', 'ADP', 'PRON')",574,0.0287
"('AUX', 'PUNCT', 'SPACE')",574,0.0287
"('VERB', 'NOUN', 'VERB', 'PART')",572,0.0286
"('ADP', 'NOUN', 'ADP', 'PRON')",569,0.02845
"('VERB', 'VERB', 'AUX', 'ADJ')",565,0.02825
"('PROPN', 'VERB', 'PRON')",562,0.0281
"('ADV', 'ADP', 'NOUN', 'DET')",559,0.02795
"('ADJ', 'ADP', 'NOUN', 'ADJ')",557,0.02785
"('VERB', 'VERB', 'NOUN', 'PROPN')",556,0.0278
"('PROPN', 'ADP', 'PROPN')",553,0.02765
"('ADP', 'NOUN', 'NOUN', 'CCONJ')",551,0.02755
"('AUX', 'NOUN', 'VERB', 'PRON')",551,0.02755
"('VERB', 'PROPN', 'CCONJ')",546,0.0273
"('VERB', 'NOUN', 'VERB', 'VERB')",546,0.0273
"('ADP', 'ADP', 'NOUN', 'DET')",541,0.02705
"('ADJ', 'VERB', 'ADP')",541,0.02705
"('VERB', 'VERB', 'ADP', 'VERB')",538,0.0269
"('VERB', 'AUX', 'PROPN')",536,0.0268
"('PRON', 'PUNCT')",536,0.0268
"('VERB', 'NOUN', 'VERB', 'PUNCT')",533,0.02665
"('ADJ', 'VERB', 'NOUN')",530,0.0265
"('NOUN', 'VERB', 'VERB', 'PART')",524,0.0262
"('AUX', 'VERB', 'NOUN', 'ADP')",523,0.02615
"('PRON', 'ADP', 'NOUN')",522,0.0261
"('NUM', 'ADP', 'NOUN')",520,0.026
"('VERB', 'ADJ', 'DET')",518,0.0259
"('NOUN', 'VERB', 'ADJ')",518,0.0259
"('ADP', 'VERB', 'PRON')",518,0.0259
"('VERB', 'SCONJ', 'NOUN')",517,0.02585
"('PROPN', 'NUM')",512,0.0256
"('NOUN', 'NOUN', 'NUM')",510,0.0255
"('AUX', 'PROPN', 'PROPN')",510,0.0255
"('VERB', 'AUX', 'VERB', 'PRON')",509,0.02545
"('VERB', 'NOUN', 'NOUN', 'CCONJ')",502,0.0251
"('VERB', 'NOUN', 'ADJ', 'ADV')",501,0.02505
"('VERB', 'VERB', 'NOUN', 'NUM')",494,0.0247
"('ADP', 'CCONJ')",488,0.0244
"('NUM', 'NUM')",485,0.02425
"('NOUN', 'VERB', 'VERB', 'PRON')",485,0.02425
"('VERB', 'AUX', 'CCONJ')",478,0.0239
"('ADP', 'PROPN', 'NOUN')",477,0.02385
"('ADP', 'NOUN', 'ADJ', 'ADV')",476,0.0238
"('ADP', 'ADJ', 'DET')",474,0.0237
"('VERB', 'NOUN', 'PROPN', 'PROPN')",474,0.0237
"('AUX', 'VERB', 'CCONJ')",472,0.0236
"('ADJ', 'VERB', 'PRON')",472,0.0236
"('VERB', 'ADP', 'NUM')",470,0.0235
"('PROPN', 'PRON')",470,0.0235
"('VERB', 'AUX', 'ADJ', 'ADP')",469,0.02345
"('AUX', 'ADJ', 'ADJ')",461,0.02305
"('VERB', 'NOUN', 'ADJ', 'CCONJ')",456,0.0228
"('NOUN', 'VERB', 'NOUN', 'PRON')",455,0.02275
"('AUX', 'NOUN', 'VERB', 'ADP')",453,0.02265
"('AUX', 'ADP', 'PRON')",453,0.02265
"('VERB', 'PRON', 'ADP')",450,0.0225
"('AUX', 'ADJ', 'CCONJ')",449,0.02245
"('VERB', 'VERB', 'PROPN', 'DET')",449,0.02245
"('PROPN', 'NOUN', 'ADJ')",448,0.0224
"('AUX', 'VERB', 'VERB', 'PART')",448,0.0224
"('ADV', 'NOUN')",445,0.02225
"('VERB', 'VERB', 'VERB', 'ADJ')",444,0.0222
"('VERB', 'AUX', 'NOUN', 'PRON')",441,0.02205
"('ADP', 'NOUN', 'PROPN', 'PROPN')",441,0.02205
"('NUM', 'DET')",437,0.02185
"('NOUN', 'ADP', 'NOUN', 'NUM')",434,0.0217
"('AUX', 'NOUN', 'CCONJ')",433,0.02165
"('SCONJ', 'NOUN', 'DET')",433,0.02165
"('NOUN', 'NOUN', 'PROPN')",432,0.0216
"('NOUN', 'PROPN', 'PUNCT')",432,0.0216
"('VERB', 'PROPN', 'ADJ')",431,0.02155
"('AUX', 'VERB', 'PROPN')",431,0.02155
"('ADP', 'NOUN', 'NOUN', 'ADP')",426,0.0213
"('NOUN', 'NOUN', 'NOUN', 'NOUN')",425,0.02125
"('INTJ', 'PUNCT')",424,0.0212
"('PRON', 'VERB', 'PRON')",422,0.0211
"('NOUN', 'VERB', 'ADP', 'PROPN')",421,0.02105
"('NOUN', 'NOUN', 'NOUN', 'DET')",420,0.021
"('VERB', 'ADJ', 'VERB')",420,0.021
"('VERB', 'ADP', 'PUNCT')",420,0.021
"('PROPN', 'ADP', 'NOUN')",419,0.02095
"('PROPN', 'VERB', 'ADP')",418,0.0209
"('AUX', 'AUX', 'PRON')",418,0.0209
"('VERB', 'AUX', 'NOUN', 'NOUN')",417,0.02085
"('ADP', 'VERB', 'VERB')",417,0.02085
"('NOUN', 'ADP', 'ADJ')",415,0.02075
"('VERB', 'NOUN', 'NOUN', 'PART')",415,0.02075
"('ADP', 'NOUN', 'VERB', 'SCONJ')",412,0.0206
"('VERB', 'NOUN', 'NOUN', 'VERB')",403,0.02015
